iter	Passed	Remaining
0	140	139966
1	142	71086
2	144	48155
3	147	36699
4	149	29786
5	151	25158
6	154	21881
7	156	19400
8	158	17487
9	161	15955
10	163	14691
11	165	13638
12	167	12749
13	170	11995
14	172	11303
15	173	10685
16	175	10144
17	176	9650
18	178	9197
19	179	8789
20	180	8421
21	181	8085
22	182	7772
23	183	7481
24	184	7214
25	186	6968
26	187	6739
27	188	6549
28	189	6350
29	190	6163
30	191	5986
31	192	5819
32	193	5662
33	194	5515
34	194	5374
35	195	5239
36	196	5112
37	197	4991
38	197	4877
39	198	4767
40	199	4663
41	200	4565
42	200	4471
43	201	4380
44	202	4293
45	202	4209
46	203	4128
47	204	4051
48	204	3978
49	205	3907
50	206	3839
51	206	3773
52	207	3708
53	208	3646
54	208	3586
55	209	3528
56	209	3472
57	210	3419
58	211	3367
59	211	3316
60	212	3267
61	212	3220
62	213	3174
63	213	3128
64	214	3085
65	215	3043
66	215	3002
67	215	2959
68	216	2920
69	216	2882
70	217	2846
71	218	2810
72	218	2776
73	219	2742
74	219	2709
75	220	2677
76	220	2646
77	221	2616
78	221	2586
79	222	2557
80	222	2529
81	223	2501
82	224	2474
83	224	2448
84	224	2420
85	225	2396
86	225	2369
87	226	2345
88	226	2322
89	227	2299
90	227	2277
91	228	2255
92	229	2233
93	229	2213
94	230	2192
95	230	2173
96	231	2153
97	231	2133
98	232	2115
99	233	2097
100	233	2078
101	233	2058
102	234	2041
103	234	2024
104	235	2007
105	236	1991
106	236	1975
107	237	1959
108	237	1943
109	238	1928
110	238	1913
111	239	1898
112	240	1884
113	240	1870
114	241	1856
115	241	1842
116	242	1828
117	242	1815
118	243	1801
119	243	1789
120	244	1776
121	245	1765
122	245	1750
123	246	1739
124	246	1727
125	247	1715
126	247	1704
127	248	1692
128	248	1681
129	249	1670
130	250	1659
131	250	1648
132	251	1638
133	251	1628
134	252	1618
135	253	1608
136	253	1598
137	254	1587
138	254	1578
139	255	1568
140	255	1559
141	256	1550
142	257	1541
143	257	1532
144	258	1523
145	258	1514
146	259	1506
147	260	1497
148	260	1489
149	261	1481
150	261	1473
151	262	1464
152	263	1457
153	263	1449
154	264	1441
155	264	1433
156	265	1425
157	266	1418
158	266	1410
159	267	1403
160	267	1396
161	268	1389
162	269	1382
163	269	1375
164	270	1368
165	270	1361
166	271	1354
167	272	1347
168	272	1341
169	273	1334
170	273	1328
171	274	1322
172	275	1316
173	276	1310
174	276	1304
175	277	1298
176	277	1292
177	278	1286
178	279	1280
179	279	1274
180	279	1266
181	280	1260
182	281	1255
183	281	1249
184	282	1243
185	282	1238
186	283	1232
187	284	1227
188	284	1221
189	285	1216
190	285	1211
191	286	1205
192	287	1200
193	287	1195
194	288	1190
195	289	1185
196	289	1180
197	290	1175
198	290	1171
199	291	1166
200	292	1161
201	292	1156
202	293	1151
203	294	1147
204	294	1142
